1: ['CPU', 'AMD', '단가', '인텔', '단가', None, None, None, None]
139: [None, '외산 240G이상', None, '외산 240G이상 NVME', None, '삼성 250g\xa0 NVME\xa0', None, '삼성 250G M.2', None]
140: [None, '외산\xa0\xa0500G', None, '외산 500g이상 NVME\xa0', None, '삼성 1TB', None, '외산 500g이상', None]
141: [None, '인텔 960G ', None, '외산\xa0 1TB NVME', None, None, None, '삼성 500G이상', None]
142: [None, '외산 1TB ', None, None, None, None, None, None, None]
143: [None, '외산 2TB', None, None, None, None, None, None, None]
144: [None, '삼성 SSD 250G', None, None, None, None, None, None, None]
145: [None, '삼성 SSD 860EVO 250G', None, None, None, None, None, None, None]
146: [None, '삼성 SSD 850EVO\xa0250G', None, None, None, None, None, None, None]
147: ['메인보드', 'AMD보드', '단가', '인텔 보드', '단가', None, None, None, None]
148: [None, 'MSI B450M MORTAR', None, 'ASUS MAXIMUS VII RANGER', None, None, None, None, None]
149: [None, '기가 B450M-DS3H', None, 'ASUS H370-F GAMING', None, None, None, None, None]
150: [None, 'ASROCK B450M PRO4', None, '아수스 h87-plus', None, None, None, None, None]
151: [None, 'ASUS B450M-PLUS GAMING', None, 'ASROCK B75M ', None, None, None, None, None]
152: [None, 'ASUS PRIME B450M-A', None, '페가트론 H61', None, None, None, None, None]
153: [None, '기가바이트 GA B450M AORUS ELITE V2', None, 'H67/P67', None, None, None, None, None]
154: [None, 'ASROCK\xa0 X370 GAMING X', None, '인텔 H77M(DH77EB)', None, None, None, None, None]
